category,code,description
P,0341,Camshaft Position Sensor A Circuit Range/Performance (Bank 1 or Single Sensor)
P,0345,Camshaft Position Sensor A Circuit (Bank 2)
P,0351,Ignition Coil A Primary / Secondary Circuit Malfunction
P,0352,Ignition Coil B Primary / Secondary Circuit Malfunction
P,0353,Ignition Coil C Primary / Secondary Circuit Malfunction
P,0354,Ignition Coil D Primary / Secondary Circuit Malfunction
P,0400,Exhaust Gas Recirculation Flow Malfunction
P,0401,Exhaust Gas Recirculation Flow Insufficient Detected
P,0402,Exhaust Gas Recirculation Flow Excessive Detected
P,0403,Exhaust Gas Recirculation Circuit Malfunction
P,0410,Secondary Air Injection System Malfunction
P,0411,Secondary Air Injection System Incorrect Flow Detected
P,0412,Secondary Air Injection System Switching Valve A Circuit Malfunction
P,0420,Catalyst System Efficiency Below Threshold (Bank 1)
P,0421,Warm Up Catalyst Efficiency Below Threshold (Bank 1)
P,0430,Catalyst System Efficiency Below Threshold (Bank 2)
P,0431,Warm Up Catalyst Efficiency Below Threshold (Bank 2)
P,0440,Evaporative Emission Control System Malfunction
P,0441,Evaporative Emission Control System Incorrect Purge Flow
P,0442,Evaporative Emission Control System Leak Detected (Small Leak)
P,0443,Evaporative Emission Control System Purge Control Valve Circuit Malfunction
P,0446,Evaporative Emission Control System Vent Control Circuit Malfunction
P,0447,Evaporative Emission Control System Vent Control Circuit Open
P,0448,Evaporative Emission Control System Vent Control Circuit Shorted
P,0451,Evaporative Emission Control System Pressure Sensor Range/Performance
P,0452,Evaporative Emission Control System Pressure Sensor Low Input
P,0453,Evaporative Emission Control System Pressure Sensor High Input
P,0455,Evaporative Emission Control System Leak Detected (Large Leak)
P,0456,Evaporative Emission Control System Leak Detected (Very Small Leak)
P,0461,Fuel Level Sensor Circuit Range/Performance
P,0462,Fuel Level Sensor Circuit Low Input
P,0463,Fuel Level Sensor Circuit High Input
P,0500,Vehicle Speed Sensor Malfunction
P,0501,Vehicle Speed Sensor Range/Performance
P,0505,Idle Control System Malfunction
P,0506,Idle Control System RPM Lower Than Expected
P,0507,Idle Control System RPM Higher Than Expected
P,0521,Engine Oil Pressure Sensor / Switch Range/Performance
P,0522,Engine Oil Pressure Sensor / Switch Low Voltage
P,0523,Engine Oil Pressure Sensor / Switch High Voltage
P,0532,A/C Refrigerant Pressure Sensor Circuit Low Input
P,0533,A/C Refrigerant Pressure Sensor Circuit High Input
P,0560,System Voltage Malfunction
P,0562,System Voltage Low
P,0563,System Voltage High
P,0571,Cruise Control / Brake Switch A Circuit Malfunction
P,0600,Serial Communication Link Malfunction
P,0601,Internal Control Module Memory Check Sum Error
P,0602,Control Module Programming Error
P,0603,Internal Control Module Keep Alive Memory (KAM) Error
P,0604,Internal Control Module Random Access Memory (RAM) Error
P,0605,Internal Control Module Read Only Memory (ROM) Error
P,0606,PCM Processor Fault
P,0610,Control Module Vehicle Options Error
P,0700,Transmission Control System Malfunction
P,0705,Transmission Range Sensor Circuit Malfunction (PRNDL Input)
P,0710,Transmission Fluid Temperature Sensor Circuit Malfunction
P,0715,Input / Turbine Speed Sensor Circuit Malfunction
P,0720,Output Speed Sensor Circuit Malfunction
P,0725,Engine Speed Input Circuit Malfunction
P,0730,Incorrect Gear Ratio
P,0740,Torque Converter Clutch Circuit Malfunction
P,0741,Torque Converter Clutch Circuit Performance or Stuck Off
P,0742,Torque Converter Clutch Circuit Stuck On
P,0743,Torque Converter Clutch Circuit Electrical
P,0750,Shift Solenoid A Malfunction
P,0755,Shift Solenoid B Malfunction
P,2096,Post Catalyst Fuel Trim System Too Lean (Bank 1)
P,2097,Post Catalyst Fuel Trim System Too Rich (Bank 1)
P,2098,Post Catalyst Fuel Trim System Too Lean (Bank 2)
P,2099,Post Catalyst Fuel Trim System Too Rich (Bank 2)
P,2101,Throttle Actuator Control Motor Circuit Range/Performance
P,2102,Throttle Actuator Control Motor Circuit Low
P,2103,Throttle Actuator Control Motor Circuit High
P,2106,Throttle Actuator Control System - Forced Limited Power
P,2110,Throttle Actuator Control System - Forced Limited RPM
P,2122,Throttle Pedal Position Sensor / Switch D Circuit Low Input
P,2123,Throttle Pedal Position Sensor / Switch D Circuit High Input
P,2127,Throttle Pedal Position Sensor / Switch E Circuit Low Input
P,2128,Throttle Pedal Position Sensor / Switch E Circuit High Input
P,2138,Throttle Pedal Position Sensor / Switch D / E Voltage Correlation
U,0073,Control Module Communication Bus Off
U,0100,Lost Communication with ECM/PCM
U,0101,Lost Communication with TCM
U,0121,Lost Communication with ABS Control Module
U,0140,Lost Communication with Body Control Module
U,0155,Lost Communication with Instrument Panel Cluster Control Module
U,0401,Invalid Data Received From ECM/PCM
U,0402,Invalid Data Received From TCM
C,0035,Front LH Wheel Speed Sensor Circuit
C,0040,Front RH Wheel Speed Sensor Circuit
C,0045,Rear LH Wheel Speed Sensor Circuit
C,0050,Rear RH Wheel Speed Sensor Circuit
C,0110,ABS Pump Motor Circuit Malfunction
C,0121,Valve Relay Circuit Malfunction
B,1318,Battery Voltage Low
B,1325,Power Circuit Voltage High
